candidate_id,bindingdb_monomer_id,standardized_smiles,standardized_inchikey,generic_murcko_scaffold_smiles,doi,pmid,sealed_exact_ki_measurement_count,prior_exact_structure_overlap,model_selection_generic_scaffold_overlap,primary_evidence_review_status,intake_status,quarantine_reasons,queue_rank,reviewer_1,reviewer_1_decision,reviewer_2,reviewer_2_decision,adjudicator,final_evidence_decision,review_notes
BDB-50147876,50147876,CCOc1cc(-c2ccccc2)nc2c1ccc(=O)n2CC,RCDDAILWTKWNPX-UHFFFAOYSA-N,CC1CCC2CCC(C3CCCCC3)CC2C1,10.1021/jm030977p,15163184,2,False,False,pending_dual_review,eligible_for_primary_evidence_review,,1,,,,,,,
BDB-50196551,50196551,Cc1ccc(Nc2nc(-n3cc(CO)cn3)nc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1,FFXMREHKIUCCAM-WVSUBDOOSA-N,C1CCC(CC2CC(C3CCCC3)CC3C(C4CCCC4)CCC23)CC1,10.1016/j.bmcl.2006.09.065,17045477,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,2,,,,,,,
BDB-50298515,50298515,O=C(Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12)C(c1ccccc1)c1ccccc1,DQISRGLAFBOHSH-UHFFFAOYSA-N,CC(CC1CC2CC(CCCC3CCCCC3)CC2C2CC(C3CCCC3)CC12)C(C1CCCCC1)C1CCCCC1,10.1016/j.bmc.2009.05.038,19501513,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,3,,,,,,,
BDB-50108038,50108038,CN1CCN(S(=O)(=O)c2ccc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)CC1,UIAWUQHFYVTKHM-UHFFFAOYSA-N,CC(C)(C1CCCCC1)C1CCC(CCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,10.1016/j.bmc.2009.05.038|10.1021/jm010924c,11754583|19501513,2,False,False,pending_dual_review,eligible_for_primary_evidence_review,,4,,,,,,,
BDB-50379111,50379111,O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NC3CCC3)nc(Cl)nc21,KPGIVUGNOFGZRD-FFVUVFKMSA-N,C1CC(CC2CCCC3C2CCC3C2CCC3CC32)C1,10.1021/ml200114q,21858244,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,5,,,,,,,
BDB-50048061,50048061,COc1ccc(CNc2ncc(C(=O)NCCc3ccccc3)c3nc(-c4ccco4)nn23)cc1OC,AISRPRRMNYPGJX-UHFFFAOYSA-N,CC(CCCC1CCCCC1)C1CCC(CCC2CCCCC2)C2CC(C3CCCC3)CC12,10.1021/jm500752h,24972108,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,6,,,,,,,
BDB-50375482,50375482,O=C(Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1)C1CC1,JBNQXRACQBYPQU-UHFFFAOYSA-N,CC(CC1CC(C2CCCCC2)CC(C2CCC3CCCC3C2)C1)C1CC1,10.1016/j.bmc.2008.01.013,18258439,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,7,,,,,,,
BDB-50003233,50003233,O=C(COc1ccc(-c2cc3c([nH]2)c(=O)n(CC2CC2)c(=O)n3CC2CC2)cc1)N1CCN(c2ccccc2)CC1,FZSRIJONUFLHPK-UHFFFAOYSA-N,CC(CCC1CCC(C2CC3C(C)C(CC4CC4)C(C)C(CC4CC4)C3C2)CC1)C1CCC(C2CCCCC2)CC1,10.1016/j.bmc.2008.01.002,18226909,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,8,,,,,,,
BDB-50256952,50256952,Nc1ncnc2c1nc(Br)n2C1CCCCC1,IVKXIMVGTFMPDF-UHFFFAOYSA-N,C1CCC(C2CCC3CCCCC32)CC1,10.1016/j.bmc.2009.02.030,19282184,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,9,,,,,,,
BDB-50342519,50342519,N=c1ccc2c(-c3ccc(C(=O)NCCNC(=O)COc4ccc(CCCn5ncc6c5nc(N)n5nc(-c7ccco7)nc65)cc4)cc3C(=O)O)c3ccc(N)c(S(=O)(=O)O)c3oc-2c1S(=O)(=O)O,HHKJUHAIZLHJQI-UHFFFAOYSA-N,CC(CCCCC(C)C1CCC(C2C3CCCCC3CC3CC(C)CCC32)CC1)CCC1CCC(CCCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,10.1016/j.bmcl.2010.11.082,21185184,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,10,,,,,,,
BDB-50256363,50256363,COCCOc1ccc(N2CCN(CCN(CC3CC3)c3cc4nc(-c5ccco5)nn4c(N)n3)CC2)cc1,DKTSTJQGCYJNIY-UHFFFAOYSA-N,C1CCC(C2CCC(CCC(CC3CC3)C3CCC4CC(C5CCCC5)CC4C3)CC2)CC1,10.1016/j.bmcl.2008.11.075,19109019,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,11,,,,,,,
BDB-50638405,50638405,Nc1nc(-c2ccco2)nc2c1nc(-c1ccco1)n2[C@@H]1OC[C@@H](O)[C@H]1O,JFKRMUAVFJYHNX-KGBXAXFASA-N,C1CCC(C2CCC3CC(C4CCCC4)C(C4CCCC4)C3C2)C1,,38845345,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,12,,,,,,,
BDB-50382977,50382977,CSc1nc2nc3c(c(=O)n2[nH]1)CN(Cc1ccccc1)CC3,XEPILNOUAKDUOM-UHFFFAOYSA-N,CC1C2CCCC2CC2CCC(CC3CCCCC3)CC21,10.1021/jm201455y,22250781,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,13,,,,,,,
BDB-50376937,50376937,CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cc(-c5ccc(C(F)(F)F)cc5)on4)c3)nc2n(CC)c1=O,VZYBYMUZWCFKQU-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CC4CCC(C5CCCCC5)C4)C3)CC2C1,10.1021/jm7014815,18321039,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,14,,,,,,,
BDB-50499695,50499695,N=C1N(CCCCc2ccccc2)C[C@@H]2Cc3ccccc3CN12,JOTQMKXKZIECRX-FQEVSTJZSA-N,CC1C(CCCCC2CCCCC2)CC2CC3CCCCC3CC21,10.1016/j.ejmech.2015.10.030,26513641,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,15,,,,,,,
BDB-50470461,50470461,CNc1ncc(C(=O)NC(c2ccccc2)c2ccccc2)c2nc(-c3ccco3)nn12,UHDZPXOSQNQCSS-UHFFFAOYSA-N,CC(CC(C1CCCCC1)C1CCCCC1)C1CCCC2CC(C3CCCC3)CC21,10.1016/j.ejmech.2018.08.042,30144700,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,16,,,,,,,
BDB-50383010,50383010,O=c1c(-c2ccco2)nnc2n(CCc3ccccc3)c3ccccc3n12,TYMRXESQMJNRFG-UHFFFAOYSA-N,CC1C(C2CCCC2)CCC2C(CCC3CCCCC3)C3CCCCC3C12,10.1021/jm201177b,22257095,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,17,,,,,,,
BDB-50085666,50085666,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4cnc[nH]4)nc32)[C@H](O)[C@@H]1O,NANAINBLSKKKCP-YRIIQKNPSA-N,C1CCC(C(CCC2CC(CCCC3CCCC3)CC3C(C4CCCC4)CCC23)C2CCCCC2)CC1,10.1016/s0960-894x(00)00017-2,10714510,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,18,,,,,,,
BDB-50171773,50171773,Cc1ccc2c(N=[N+]=[N-])c(Cc3ccccc3)cnc2n1,GFTOIPQCHLKALF-UHFFFAOYSA-N,C1CCC(CC2CCC3CCCCC3C2)CC1,10.1016/j.bmcl.2005.06.064,16099648,2,False,False,pending_dual_review,eligible_for_primary_evidence_review,,19,,,,,,,
BDB-50377555,50377555,Nc1nc(-c2ccccc2)c2ncn(C(=O)NCc3ccccc3)c2n1,MNONTGDJIJLFPU-UHFFFAOYSA-N,CC(CCC1CCCCC1)C1CCC2C(C3CCCCC3)CCCC12,10.1016/j.bmcl.2008.03.072,18411049,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,20,,,,,,,
BDB-50102281,50102281,O=c1c(-c2ccc(O)cc2)nnc2n(Cc3ccccc3)c3ccccc3n12,JYELSORFHCQDSM-UHFFFAOYSA-N,CC1C(C2CCCCC2)CCC2C(CC3CCCCC3)C3CCCCC3C12,10.1021/jm001054m,11462973,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,21,,,,,,,
BDB-50336988,50336988,O=C(CC1CCCC1)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1,QGEFGRKOALZSHD-UHFFFAOYSA-N,CC(CC1CCCC1)CC1CCC(C2CCCCC2)C(C2CCCC2)C1,10.1021/ml100249e,24900298,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,22,,,,,,,
BDB-50170827,50170827,c1nc2nc(Nc3ccc(N4CCOCC4)cc3)nc(NC3CC4CCC3C4)c2[nH]1,TYCRGJHWMDJLCO-UHFFFAOYSA-N,C1CCC(C2CCC(CC3CC4CCCC4C(CC4CC5CCC4C5)C3)CC2)CC1,10.1021/jm050221l,16033270,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,23,,,,,,,
BDB-50152092,50152092,COc1ccc(-c2cnn(-c3nc(NCc4cccc(I)c4)c4ncn(C5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)c2)cc1,LHHKPNOHZCRPQI-CUVLRLMBSA-N,C1CCC(CCC2CC(C3CCC(C4CCCCC4)C3)CC3C(C4CCCC4)CCC23)CC1,10.1021/jm049682h,15341491,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,24,,,,,,,
BDB-50580308,50580308,Nc1ccccc1NC(=O)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,ONXZCTJYOFXBKU-UHFFFAOYSA-N,CC(CC1CCCCC1)C1CCC(CCCC2CCC3C2CCC2CC(C4CCCC4)CC23)CC1,10.1021/acs.jmedchem.1c01155,34783558,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,25,,,,,,,
BDB-21212,21212,Cc1cc(C)n(-c2cc(NC(=O)CCN3CC[C@H](N(C)C)C3)nc(-c3ccc(C)o3)n2)n1,FVYCZVOQAJZLBF-SFHVURJKSA-N,CC(CCC1CCCC1)CC1CC(C2CCCC2)CC(C2CCCC2)C1,10.1021/jm701187w,18307293,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,26,,,,,,,
BDB-50262266,50262266,N#Cc1c(-c2ccc3c(c2)OCO3)cc(-c2ccco2)nc1N,BSDPUVBSSGQTGP-UHFFFAOYSA-N,C1CCC(C2CCCC(C3CCC4CCCC4C3)C2)C1,10.1021/jm701594y,18637670,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,27,,,,,,,
BDB-50494467,50494467,CCCC1=C(C(=O)OCC)C(c2ccco2)NC(=O)N1,WRHHNUZCUZVWLY-UHFFFAOYSA-N,CC1CCCC(C2CCCC2)C1,10.1021/ml400185v,24900602,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,28,,,,,,,
BDB-50247934,50247934,COc1cccc(-n2c(=O)n(Cc3c(F)cccc3F)c3cnc(NCCc4cccs4)nc32)c1,LYNYVXYEWWSYMQ-UHFFFAOYSA-N,CC1C(CC2CCCCC2)C2CCC(CCCC3CCCC3)CC2C1C1CCCCC1,10.1016/j.bmcl.2009.01.042,19181527,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,29,,,,,,,
BDB-50464751,50464751,O=C(CCN1CCc2ccccc2C1)Nc1cc(-c2ccco2)c2oc(-c3ccco3)nc2c1,YPHPMZXEJNUQSP-UHFFFAOYSA-N,CC(CCC1CCC2CCCCC2C1)CC1CC2CC(C3CCCC3)CC2C(C2CCCC2)C1,10.1016/j.ejmech.2017.12.007,29268131,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,30,,,,,,,
BDB-50410755,50410755,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)n4ccc(N)n4)cc3)cc2n(CCC)c1=O,OBRLHFBUUWTVMS-UHFFFAOYSA-N,CC1CC(C)C2CC(C3CCC(CCC(C)C4CCCC4)CC3)CC2C1,10.1021/jm0506221,16392813,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,31,,,,,,,
BDB-50189175,50189175,S=C(NCc1ccccc1)N(Cc1ccccc1)c1nc2c(Cl)ncnc2s1,GMRJTVNCPZHTOX-UHFFFAOYSA-N,CC(CCC1CCCCC1)C(CC1CCCCC1)C1CC2CCCCC2C1,10.1021/acs.jmedchem.6b00552,27227326,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,32,,,,,,,
BDB-50377544,50377544,Nc1nc(-c2ccco2)c2cnn(CCCc3ccccc3)c2n1,CECMCHUAHZIDKZ-UHFFFAOYSA-N,C1CCC(CCCC2CCC3C(C4CCCC4)CCCC23)CC1,10.1016/j.bmcl.2008.03.072,18411049,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,33,,,,,,,
BDB-50064625,50064625,Cc1ccc(Nc2nc(N(C)C)c(C(=O)Nc3sc4c(c3C(N)=O)CCCC4)s2)cc1,MEMQHGHFQKPZOS-UHFFFAOYSA-N,CC(CC1CC2CCCCC2C1)C1CCC(CC2CCCCC2)C1,10.1016/j.bmcl.2015.01.040,25686851,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,34,,,,,,,
BDB-50389837,50389837,Cc1cccc2sc(NC(=O)CNS(=O)(=O)c3cccs3)nc12,WEBVJYSWMVKMFV-UHFFFAOYSA-N,CC(CCC(C)(C)C1CCCC1)CC1CC2CCCCC2C1,10.1021/jm300280e,22563707,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,35,,,,,,,
BDB-50013702,50013702,Nc1ncnc2c1ncn2C1CCCCCC1,FHZRSYFMJLJWBS-UHFFFAOYSA-N,C1CCCC(C2CCC3CCCCC32)CC1,10.1016/j.bmc.2009.02.030,19282184,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,36,,,,,,,
BDB-50377546,50377546,Nc1nc(-c2ccco2)c2cnn(Cc3ccco3)c2n1,PDHBEXZQMIJQMS-UHFFFAOYSA-N,C1CCC(CC2CCC3C(C4CCCC4)CCCC23)C1,10.1016/j.bmcl.2008.03.072,18411049,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,37,,,,,,,
BDB-50023391,50023391,CCCn1c(=O)n(Cc2ccc(N)c(I)c2)c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)nc21,MMUQMGJPHOIRRP-UHFFFAOYSA-N,CC1CC2CC(C3CCCCC3)CC2C(C)C1CC1CCCCC1,10.1021/jm00399a010,3351850,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,38,,,,,,,
BDB-50139722,50139722,COc1ccc(C=NNC(=S)Cc2ccccc2)c(O)c1,XLTCCJIUIMYSBX-UHFFFAOYSA-N,CC(CCCC1CCCCC1)CC1CCCCC1,10.1016/j.bmcl.2003.09.095,14741297,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,39,,,,,,,
BDB-50248436,50248436,COc1cccc(-n2c(=O)n(C)c3cnc(NC4CC4)nc32)c1,AJRRIEGYRSNLNQ-UHFFFAOYSA-N,CC1CC2CCC(CC3CC3)CC2C1C1CCCCC1,10.1016/j.bmcl.2009.01.042,19181527,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,40,,,,,,,
BDB-50470477,50470477,CNc1ncc(C(=O)NCc2ccc(-c3ccccc3)cc2)c2nc(-c3ccco3)nn12,LRBRBZRXARFWFP-UHFFFAOYSA-N,CC(CCC1CCC(C2CCCCC2)CC1)C1CCCC2CC(C3CCCC3)CC21,10.1016/j.ejmech.2018.08.042,30144700,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,41,,,,,,,
BDB-50137530,50137530,O=C(Cc1ccccc1)Nc1nc(NCc2ccccc2)nc2nc(-c3ccco3)nn12,XDBHEXCFNGFAMS-UHFFFAOYSA-N,CC(CC1CCCCC1)CC1CC(CCC2CCCCC2)CC2CC(C3CCCC3)CC12,10.1016/j.ejmech.2015.12.019,26717203,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,42,,,,,,,
BDB-50389836,50389836,NC(=NC(=O)CN1C(=O)C2CCCCC2C1=O)Nc1nc2ccccc2s1,MIWQXYRPJRSUKA-UHFFFAOYSA-N,CC(CCCC1CC2CCCCC2C1)CC1C(C)C2CCCCC2C1C,10.1021/jm300280e,22563707,1,False,False,pending_dual_review,eligible_for_primary_evidence_review,,43,,,,,,,
