queue_rank,candidate_id,bindingdb_monomer_id,standardized_inchikey,doi,pmid,pmcids,article_titles,pass_1_status,fulltext_available,pass_2_required,external_cohort_admitted
1,BDB-50147876,50147876,RCDDAILWTKWNPX-UHFFFAOYSA-N,10.1021/jm030977p,15163184,,"Study on affinity profile toward native human and bovine adenosine receptors of a series of 1,8-naphthyridine derivatives.",metadata_pass_needs_fulltext,False,True,False
2,BDB-50196551,50196551,FFXMREHKIUCCAM-WVSUBDOOSA-N,10.1016/j.bmcl.2006.09.065,17045477,,"N6-Cycloalkyl-2-substituted adenosine derivatives as selective, high affinity adenosine A1 receptor agonists.",metadata_pass_needs_fulltext,False,True,False
3,BDB-50298515,50298515,DQISRGLAFBOHSH-UHFFFAOYSA-N,10.1016/j.bmc.2009.05.038,19501513,,Combining selectivity and affinity predictions using an integrated Support Vector Machine (SVM) approach: An alternative tool to discriminate between the human adenosine A(2A) and A(3) receptor pyrazolo-triazolo-pyrimidine antagonists binding sites.,metadata_pass_needs_fulltext,False,True,False
4,BDB-50108038,50108038,UIAWUQHFYVTKHM-UHFFFAOYSA-N,10.1016/j.bmc.2009.05.038|10.1021/jm010924c,11754583|19501513,,"7-Substituted 5-amino-2-(2-furyl)pyrazolo[4,3-e]-1,2,4-triazolo[1,5-c]pyrimidines as A2A adenosine receptor antagonists: a study on the importance of modifications at the side chain on the activity and solubility. | Combining selectivity and affinity predictions using an integrated Support Vector Machine (SVM) approach: An alternative tool to discriminate between the human adenosine A(2A) and A(3) receptor pyrazolo-triazolo-pyrimidine antagonists binding sites.",metadata_pass_needs_fulltext,False,True,False
5,BDB-50379111,50379111,KPGIVUGNOFGZRD-FFVUVFKMSA-N,10.1021/ml200114q,21858244,PMC3156476,Truncated (N)-Methanocarba Nucleosides as A(1) Adenosine Receptor Agonists and Partial Agonists: Overcoming Lack of a Recognition Element.,quarantine_target_not_supported,False,False,False
6,BDB-50048061,50048061,AISRPRRMNYPGJX-UHFFFAOYSA-N,10.1021/jm500752h,24972108,,"Scaffold decoration at positions 5 and 8 of 1,2,4-triazolo[1,5-c]pyrimidines to explore the antagonist profiling on adenosine receptors: a preliminary structure-activity relationship study.",quarantine_target_not_supported,False,False,False
7,BDB-50375482,50375482,JBNQXRACQBYPQU-UHFFFAOYSA-N,10.1016/j.bmc.2008.01.013,18258439,,A new generation of adenosine receptor antagonists: from di- to trisubstituted aminopyrimidines.,metadata_pass_needs_fulltext,False,True,False
8,BDB-50003233,50003233,FZSRIJONUFLHPK-UHFFFAOYSA-N,10.1016/j.bmc.2008.01.002,18226909,,"1-, 3- and 8-substituted-9-deazaxanthines as potent and selective antagonists at the human A2B adenosine receptor.",metadata_pass_needs_fulltext,False,True,False
9,BDB-50256952,50256952,IVKXIMVGTFMPDF-UHFFFAOYSA-N,10.1016/j.bmc.2009.02.030,19282184,,8-Bromo-9-alkyl adenine derivatives as tools for developing new adenosine A2A and A2B receptors ligands.,metadata_pass_needs_fulltext,False,True,False
10,BDB-50342519,50342519,HHKJUHAIZLHJQI-UHFFFAOYSA-N,10.1016/j.bmcl.2010.11.082,21185184,PMC3081901,"Molecular probes for the A2A adenosine receptor based on a pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-amine scaffold.",metadata_pass_fulltext_ready,True,True,False
11,BDB-50256363,50256363,DKTSTJQGCYJNIY-UHFFFAOYSA-N,10.1016/j.bmcl.2008.11.075,19109019,,"Potent and selective adenosine A2A receptor antagonists: 1,2,4-Triazolo[1,5-c]pyrimidines.",metadata_pass_requires_endpoint_resolution,False,True,False
12,BDB-50638405,50638405,JFKRMUAVFJYHNX-KGBXAXFASA-N,,38845345,PMC11302573,"Structural Modification and Biological Evaluation of 2,8-Disubstituted Adenine and Its Nucleosides as A2A Adenosine Receptor Antagonists: Exploring the Roles of Ribose at Adenosine Receptors.",metadata_pass_fulltext_ready,True,True,False
13,BDB-50382977,50382977,XEPILNOUAKDUOM-UHFFFAOYSA-N,10.1021/jm201455y,22250781,PMC3308209,Identification of novel adenosine A(2A) receptor antagonists by virtual screening.,metadata_pass_fulltext_ready,True,True,False
14,BDB-50376937,50376937,VZYBYMUZWCFKQU-UHFFFAOYSA-N,10.1021/jm7014815,18321039,,Discovery of a novel A2B adenosine receptor antagonist as a clinical candidate for chronic inflammatory airway diseases.,quarantine_target_not_supported,False,False,False
15,BDB-50499695,50499695,JOTQMKXKZIECRX-FQEVSTJZSA-N,10.1016/j.ejmech.2015.10.030,26513641,,Design and synthesis of fused tetrahydroisoquinoline-iminoimidazolines.,metadata_pass_needs_fulltext,False,True,False
16,BDB-50470461,50470461,UHDZPXOSQNQCSS-UHFFFAOYSA-N,10.1016/j.ejmech.2018.08.042,30144700,,"[1,2,4]Triazolo[1,5-c]pyrimidines as adenosine receptor antagonists: Modifications at the 8 position to reach selectivity towards A3 adenosine receptor subtype.",metadata_pass_needs_fulltext,False,True,False
17,BDB-50383010,50383010,TYMRXESQMJNRFG-UHFFFAOYSA-N,10.1021/jm201177b,22257095,,"3-aryl-[1,2,4]triazino[4,3-a]benzimidazol-4(10H)-one: a novel template for the design of highly selective A₂B adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
18,BDB-50085666,50085666,NANAINBLSKKKCP-YRIIQKNPSA-N,10.1016/s0960-894x(00)00017-2,10714510,,"The discovery and synthesis of highly potent, A2a receptor agonists.",metadata_pass_requires_endpoint_resolution,False,True,False
19,BDB-50171773,50171773,GFTOIPQCHLKALF-UHFFFAOYSA-N,10.1016/j.bmcl.2005.06.064,16099648,,"1,8-Naphthyridin-4-one derivatives as new ligands of A2A adenosine receptors.",metadata_pass_needs_fulltext,False,True,False
20,BDB-50377555,50377555,MNONTGDJIJLFPU-UHFFFAOYSA-N,10.1016/j.bmcl.2008.03.072,18411049,,"Antagonists of the human adenosine A2A receptor. Part 3: Design and synthesis of pyrazolo[3,4-d]pyrimidines, pyrrolo[2,3-d]pyrimidines and 6-arylpurines.",metadata_pass_requires_endpoint_resolution,False,True,False
21,BDB-50102281,50102281,JYELSORFHCQDSM-UHFFFAOYSA-N,10.1021/jm001054m,11462973,,"3-Aryl[1,2,4]triazino[4,3-a]benzimidazol-4(10H)-ones: a new class of selective A1 adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
22,BDB-50336988,50336988,QGEFGRKOALZSHD-UHFFFAOYSA-N,10.1021/ml100249e,24900298,PMC4018059,"Discovery of LAS101057: A Potent, Selective, and Orally Efficacious A2B Adenosine Receptor Antagonist.",quarantine_target_not_supported,False,False,False
23,BDB-50170827,50170827,TYCRGJHWMDJLCO-UHFFFAOYSA-N,10.1021/jm050221l,16033270,PMC3474371,"""Reversine"" and its 2-substituted adenine derivatives as potent and selective A3 adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
24,BDB-50152092,50152092,LHHKPNOHZCRPQI-CUVLRLMBSA-N,10.1021/jm049682h,15341491,,2-Pyrazolyl-N(6)-substituted adenosine derivatives as high affinity and selective adenosine A(3) receptor agonists.,metadata_pass_needs_fulltext,False,True,False
25,BDB-50580308,50580308,ONXZCTJYOFXBKU-UHFFFAOYSA-N,10.1021/acs.jmedchem.1c01155,34783558,,Structure-Based Design of Dual-Acting Compounds Targeting Adenosine A2A Receptor and Histone Deacetylase as Novel Tumor Immunotherapeutic Agents.,metadata_pass_needs_fulltext,False,True,False
26,BDB-21212,21212,FVYCZVOQAJZLBF-SFHVURJKSA-N,10.1021/jm701187w,18307293,,"2-Amino-N-pyrimidin-4-ylacetamides as A2A receptor antagonists: 2. Reduction of hERG activity, observed species selectivity, and structure-activity relationships.",metadata_pass_requires_endpoint_resolution,False,True,False
27,BDB-50262266,50262266,BSDPUVBSSGQTGP-UHFFFAOYSA-N,10.1021/jm701594y,18637670,,2-Amino-6-furan-2-yl-4-substituted nicotinonitriles as A2A adenosine receptor antagonists.,metadata_pass_needs_fulltext,False,True,False
28,BDB-50494467,50494467,WRHHNUZCUZVWLY-UHFFFAOYSA-N,10.1021/ml400185v,24900602,PMC4027370,"Discovery of 3,4-Dihydropyrimidin-2(1H)-ones As a Novel Class of Potent and Selective A2B Adenosine Receptor Antagonists.",quarantine_target_not_supported,False,False,False
29,BDB-50247934,50247934,LYNYVXYEWWSYMQ-UHFFFAOYSA-N,10.1016/j.bmcl.2009.01.042,19181527,,Synthesis and SAR studies of trisubstituted purinones as potent and selective adenosine A2A receptor antagonists.,metadata_pass_needs_fulltext,False,True,False
30,BDB-50464751,50464751,YPHPMZXEJNUQSP-UHFFFAOYSA-N,10.1016/j.ejmech.2017.12.007,29268131,,Antagonists of the adenosine A2A receptor based on a 2-arylbenzoxazole scaffold: Investigation of the C5- and C7-positions to enhance affinity.,metadata_pass_needs_fulltext,False,True,False
31,BDB-50410755,50410755,OBRLHFBUUWTVMS-UHFFFAOYSA-N,10.1021/jm0506221,16392813,,"Design, synthesis, and structure-activity relationships of 1-,3-,8-, and 9-substituted-9-deazaxanthines at the human A2B adenosine receptor.",metadata_pass_needs_fulltext,False,True,False
32,BDB-50189175,50189175,GMRJTVNCPZHTOX-UHFFFAOYSA-N,10.1021/acs.jmedchem.6b00552,27227326,,"Discovery of 7-(Prolinol-N-yl)-2-phenylamino-thiazolo[5,4-d]pyrimidines as Novel Non-Nucleoside Partial Agonists for the A2A Adenosine Receptor: Prediction from Molecular Modeling.",metadata_pass_needs_fulltext,False,True,False
33,BDB-50377544,50377544,CECMCHUAHZIDKZ-UHFFFAOYSA-N,10.1016/j.bmcl.2008.03.072,18411049,,"Antagonists of the human adenosine A2A receptor. Part 3: Design and synthesis of pyrazolo[3,4-d]pyrimidines, pyrrolo[2,3-d]pyrimidines and 6-arylpurines.",metadata_pass_requires_endpoint_resolution,False,True,False
34,BDB-50064625,50064625,MEMQHGHFQKPZOS-UHFFFAOYSA-N,10.1016/j.bmcl.2015.01.040,25686851,,"Novel thiazole-thiophene conjugates as adenosine receptor antagonists: synthesis, biological evaluation and docking studies.",metadata_pass_needs_fulltext,False,True,False
35,BDB-50389837,50389837,WEBVJYSWMVKMFV-UHFFFAOYSA-N,10.1021/jm300280e,22563707,,A prospective cross-screening study on G-protein-coupled receptors: lessons learned in virtual compound library design.,metadata_pass_needs_fulltext,False,True,False
36,BDB-50013702,50013702,FHZRSYFMJLJWBS-UHFFFAOYSA-N,10.1016/j.bmc.2009.02.030,19282184,,8-Bromo-9-alkyl adenine derivatives as tools for developing new adenosine A2A and A2B receptors ligands.,metadata_pass_needs_fulltext,False,True,False
37,BDB-50377546,50377546,PDHBEXZQMIJQMS-UHFFFAOYSA-N,10.1016/j.bmcl.2008.03.072,18411049,,"Antagonists of the human adenosine A2A receptor. Part 3: Design and synthesis of pyrazolo[3,4-d]pyrimidines, pyrrolo[2,3-d]pyrimidines and 6-arylpurines.",metadata_pass_requires_endpoint_resolution,False,True,False
38,BDB-50023391,50023391,MMUQMGJPHOIRRP-UHFFFAOYSA-N,10.1021/jm00399a010,3351850,,125I-labeled 8-phenylxanthine derivatives: antagonist radioligands for adenosine A1 receptors.,quarantine_target_not_supported,False,False,False
39,BDB-50139722,50139722,XLTCCJIUIMYSBX-UHFFFAOYSA-N,10.1016/j.bmcl.2003.09.095,14741297,,"Synthesis and SAR evaluation of 1,2,4-triazoles as A(2A) receptor antagonists.",metadata_pass_requires_endpoint_resolution,False,True,False
40,BDB-50248436,50248436,AJRRIEGYRSNLNQ-UHFFFAOYSA-N,10.1016/j.bmcl.2009.01.042,19181527,,Synthesis and SAR studies of trisubstituted purinones as potent and selective adenosine A2A receptor antagonists.,metadata_pass_needs_fulltext,False,True,False
41,BDB-50470477,50470477,LRBRBZRXARFWFP-UHFFFAOYSA-N,10.1016/j.ejmech.2018.08.042,30144700,,"[1,2,4]Triazolo[1,5-c]pyrimidines as adenosine receptor antagonists: Modifications at the 8 position to reach selectivity towards A3 adenosine receptor subtype.",metadata_pass_needs_fulltext,False,True,False
42,BDB-50137530,50137530,XDBHEXCFNGFAMS-UHFFFAOYSA-N,10.1016/j.ejmech.2015.12.019,26717203,,"5,7-Disubstituted-[1,2,4]triazolo[1,5-a][1,3,5]triazines as pharmacological tools to explore the antagonist selectivity profiles toward adenosine receptors.",quarantine_target_not_supported,False,False,False
43,BDB-50389836,50389836,MIWQXYRPJRSUKA-UHFFFAOYSA-N,10.1021/jm300280e,22563707,,A prospective cross-screening study on G-protein-coupled receptors: lessons learned in virtual compound library design.,metadata_pass_needs_fulltext,False,True,False
44,BDB-50361327,50361327,SLRFMWZADWPTCV-UHFFFAOYSA-N,10.1016/j.bmc.2011.11.037,22204739,,"Pyrrolo- and pyrazolo-[3,4-e][1,2,4]triazolo[1,5-c]pyrimidines as adenosine receptor antagonists.",metadata_pass_needs_fulltext,False,True,False
45,BDB-50095788,50095788,OGMPGZVDXMCVJD-UHFFFAOYSA-N,10.1021/jm990499b,11170626,,2-Alkynyl-8-aryl-9-methyladenines as novel adenosine receptor antagonists: their synthesis and structure-activity relationships toward hepatic glucose production induced via agonism of the A(2B) receptor.,metadata_pass_requires_endpoint_resolution,False,True,False
46,BDB-50208811,50208811,ZJDAEJJMDHYEGB-HUBRGWSESA-N,10.1021/jm061278q,17378544,PMC3405160,"Structure-activity relationships of 2,N(6),5'-substituted adenosine derivatives with potent activity at the A2B adenosine receptor.",quarantine_target_not_supported,False,False,False
47,BDB-50382979,50382979,GCRYBPRWBPKFMF-UHFFFAOYSA-N,10.1021/jm201455y,22250781,PMC3308209,Identification of novel adenosine A(2A) receptor antagonists by virtual screening.,metadata_pass_fulltext_ready,True,True,False
48,BDB-50139734,50139734,JBZHGBGUPKQCBU-UHFFFAOYSA-N,10.1016/j.bmcl.2003.09.095,14741297,,"Synthesis and SAR evaluation of 1,2,4-triazoles as A(2A) receptor antagonists.",metadata_pass_requires_endpoint_resolution,False,True,False
